intent,text
SHOW_GIF,show me something funny
SHOW_GIF,show me a gif
SHOW_GIF,gif
SHOW_GIF,jif
SHOW_GIF,i want to see a gif
SHOW_GIF,show a meme
SHOW_GIF,show meme
SHOW_GIF,show gif
SHOW_GIF,do a gif
SHOW_GIF,show me a meme
SHOW_GIF,bring up meme
SHOW_GIF,random gif
SHOW_GIF,random meme
SHOW_GIF,i want to see something funny
DUCK,show me a duck
DUCK,duck
DUCK,i want to see a duck
DUCK,ducks
DUCK,display a water animal
DUCK,show me a water bird
DUCK,show duck
DUCK,give me a duck
DUCK,duck please
DUCK,display a duck
DUCK,bring up a duck
DUCK,show me a water fowl
DUCK,give me duck
DUCK,i want a duck